SampleID	unpurified	purified	unpurified_260_280	unpurified_260_230	purified_260_280	purified_260_230
OBER.01	175	61	1.55	1.03	1.98	2.47
OBER.02	192	73	1.55	1.04	1.96	2.32
OBER.03	240	72	1.56	1.04	1.97	2.38
OBER.04	105	64	1.55	1.02	1.93	2.34
OBER.05	215	100	1.58	1.17	1.95	2.06
OBER.06	NA	41	1.53	1.22	1.93	2.31
OBER.07	250	73	1.5	0.72	1.82	3.94
OBER.08	165	78	1.49	0.72	1.82	3.73
OBER.09	NA	NA	NA	NA	NA	NA
OBER.10	165	76	1.47	0.73	1.81	5.03
OBER.11	170	65	1.44	0.76	1.71	6.87
OBER.12	NA	NA	NA	NA	NA	NA
OBER.13	220	88	0.41	-0.28	1.79	2.92
OBER.14	225	77	-0.08	0.04	1.75	2.73
OBER.15	NA	NA	NA	NA	NA	NA
OBER.16 	NA	NA	1.92	0.13	1.43	-0.21
OBER.17 	NA	NA	NA	NA	NA	NA
OBER.18	480	217	1.87	0.59	1.86	2.2
OBER.19	665	115	1.87	0.48	1.86	1.8
OBER.20	1240	99	1.89	0.79	1.86	2.18
OBER.21	460	156	1.88	0.44	1.89	2.18
OBER.22	290	146	1.92	0.38	1.86	2.13
OBER.23	190	100	1.93	0.19	1.89	2.13
OBER.24	205	133	1.9	0.48	1.87	2.18
OBER.25	155	166	1.89	0.42	1.89	2.15
OBER.26	NA	NA	NA	NA	NA	NA
OBER.27	120	318	1.94	0.49	1.86	2.14
OBER.28	545	242	1.87	0.64	1.84	2.08
OBER.29	NA	NA	NA	NA	NA	NA
OBER.30	135	174	1.9	0.35	1.85	2.09
OBER.31	775	306	1.84	0.84	1.86	2.13
OBER.32	NA	NA	NA	NA	NA	NA
OBER.33	NA	26	2	0.06	1.66	1.37
OBER.34	175	157	1.88	0.21	1.81	1.93
OBER.35	NA	NA	NA	NA	NA	NA
OBER.36	NA	0.0303	2.87	0.01	1.04	1.06
OBER.37 	0.00346	0.0059	2.64	0.02	1.17	0.86
