taxon_name,beta,se,W,p_val,q_val,Kingdom,Phylum,Class,Order,Family,Genus,Species
1b6ebf1064a608fbc982069165bc0d03,2.109642074926935,0.3206769524917589,6.578714368258662,0,0,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,Family_67-14,Family_67-14
570ba805dcdbcb9b0bbdb3b34a4a166b,0.6834545787637198,0.13781810345684056,4.959105963736847,7.081833344966686e-7,3.3001343387544756e-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudorhodoplanes,Genus__Pseudorhodoplanes
6143c8868f3e5f21fb998147de3c6f31,1.5051336521505976,0.3499100919913197,4.301486829330821,1.6965585992606674e-5,5.490252133718549e-4,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Genus__Mycobacterium
207e2dd374e26de6723582bfa9856501,1.6201940673812527,0.3796450629523053,4.2676547793927115,1.9753870804113058e-5,6.219799861295058e-4,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,uncultured organism
0277c174c4786b07fc0739f37d2f4fb6,1.8499703425168685,0.449948666493993,4.111514224348893,3.93072652962188e-5,0.0011448241017523726,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,Family_67-14,Family_67-14
0ff238fdc6d8d32846c0745bab0dc2f3,1.7192305904583023,0.4288652981973859,4.0087892344859855,0,0,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,Genus__uncultured
a077df8e6aac02c878042b386c0c81f8,1.9037028484565577,0.4795454251348016,3.9698071312460574,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,Family_Xanthobacteraceae
3505574ad20d791dd67fd2ef680b6ed2,2.3408493004230118,0.5939595353079865,3.9410922146560177,0,0,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,Family_JG30-KF-CM45,Family_JG30-KF-CM45
5c75d0dd1d42351f8e2eb39659360de6,1.6091035259127664,0.42623712872217323,3.775136930789529,1.5991979261121525e-4,0.003212182041242513,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Genus__Sandaracinus
2aef0c44c66dd2c876490fe25d077c94,1.612220048371679,0.4293091875066574,3.7553821238607386,1.7307720628236868e-4,0.003360582421982659,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,Genus__Pseudonocardia
674e3ed127dce2a729144d441e7409ad,0.614076683503741,0.1655501248132593,3.709309698174013,2.0782509425600618e-4,0.003969118603413888,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,Genus__Nitrosomonas
9849c8ec79f4b01c6c4bede73f94eba2,1.4497363202155817,0.40405160522377775,3.5879979227224394,3.332269443446745e-4,0.0057300637051786694,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,Genus__uncultured
282a6f7dbe19c17288b8b1ab19d20a44,1.5867972323370056,0.4521720341200009,3.509277692118149,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured Rhizobiales bacterium,uncultured Rhizobiales bacterium,uncultured Rhizobiales bacterium
1c19191030c678751227c6561102effe,1.4791882708639084,0.42416802009037186,3.4872696686297977,4.8797905010915276e-4,0.0077876108681803145,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Family_Microbacteriaceae,Family_Microbacteriaceae
70e3531da7af0a9e83a2710a53648a41,1.7649480057667941,0.5094809844631585,3.4642078106732965,5.317955146870965e-4,0.008151865455400887,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,Genus__Marmoricola
40545b7f443d12bafc68176642019c2b,1.4307805771960158,0.42543906691232175,3.363068153519817,7.708133139163918e-4,0.011224968883907454,Bacteria,Chloroflexi,KD4-96,Class_KD4-96,Class_KD4-96,Class_KD4-96,Class_KD4-96
85ec06944ad20aae78ce805a16e8ffe2,1.816600381212237,0.5437268309337427,3.3410166242717634,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,Family_Xanthobacteraceae
0f5edfb3cd25fcd34830dd10c294b98d,1.2432525436889272,0.37601467917539955,3.306393639778588,9.450522098533661e-4,0.013106974100942517,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Family_Microbacteriaceae,Family_Microbacteriaceae
9dd5007c8e697a4a2bf98248d5fdade8,0.4655843817160248,0.14521628457416533,3.2061444285075344,0.0013452644883377007,0.01780946737401615,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,Genus__Ferruginibacter
b02f9b75f47d58c383aa57c2673bfee4,0.6677331451981201,0.21453486923550172,3.112469071240481,0,0,Bacteria,Elusimicrobia,Elusimicrobia,Lineage IV,uncultured Termite group 1 bacterium,uncultured Termite group 1 bacterium,uncultured Termite group 1 bacterium
636d5cf9c824d936e8d24a787f11db5b,1.5460089035579945,0.5023737630219797,3.077407733752119,0.00208809469679312,0.026441633932217226,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Genus__Mycobacterium
fd358d3e96d896119f8a53fbe044c342,1.239610444098367,0.40571740615897905,3.0553543557178067,0.0022479475343910107,0.028159772877048683,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,Family_uncultured,Family_uncultured
ce3f8f7ae6ebc7f063a088bc88225853,0.9893734398800916,0.3247426177388944,3.046638740455021,0.002314156542631484,0.02866707100876494,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,Family_uncultured,Family_uncultured
ec5858d80c5583f37545cf8c677637dc,0.8088479076529155,0.2657536915138155,3.043599895246861,0.0023376581509293296,0.02866707100876494,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,Family_JG30-KF-CM45,Family_JG30-KF-CM45
9d5c39bba8cc1bc250391089e7967d39,1.2438342988083033,0.41726093751063004,2.9809507360765486,0.0028735501517100455,0.034160060476961254,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,Genus__Nitrosomonas
3ef9d967a6a6e890d75a18386ff54690,0.5198012309554432,0.1769307563207117,2.937879438062373,0.003304655068094884,0.03763564535861127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,Genus__uncultured
66ec92e443107a45267742ed1c26f65a,0.345465569574853,0.12258374481452425,2.8182004889601053,0.004829364405332847,0.05114735938375243,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,Genus__uncultured
75669516fe0dc794befffc9d70cf9e81,1.3019139148782888,0.46582359084115516,2.7948647094651733,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Undibacterium,Genus__Undibacterium
acba63858b922e161c0462594d0a552e,1.164746387257454,0.43093446332885477,2.7028387988746503,0,0,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,Genus__Nitrospira
afdedebb0295812d7f2992d77420f850,1.294518274154029,0.4795647217647022,2.699360931701692,0,0,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,Genus__Bryobacter
6889b286a8fe13cbc867023766a5b5db,1.436420871989954,0.5372554998321935,2.673627114917588,0.0075035832851479195,0.06746329393708655,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Family_Xanthobacteraceae,Family_Xanthobacteraceae
0a4d6191a3c2540681fec4f7b1f667af,1.2218546658107001,0.46289798968258883,2.639576522353297,0.008300968070803794,0.07326233183701833,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,Family_env.OPS 17,Family_env.OPS 17
c50c9debe5bac8728ab326811abe7737,0.3360914311550486,0.128183054941247,2.6219645904764626,0.00874245137663702,0.0765786154419709,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Nitrosomonas,Genus__Nitrosomonas
808974833f686817c80e5fd974fcf4f1,1.1351189281073946,0.4381979691594243,2.590424894676812,0.009585753595401128,0.08236663667634013,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,uncultured,Genus__uncultured
63261fb8a4384e0ee85e41ebf794d370,0.2452226938430438,0.09613149140776887,2.550909075183932,0.010744235208092033,0.09005060444192244,Bacteria,Planctomycetes,028H05-P-BN-P5,Class_028H05-P-BN-P5,Class_028H05-P-BN-P5,Class_028H05-P-BN-P5,Class_028H05-P-BN-P5
18c2a255d2ad4ff81cf5c4f070efc0a8,1.4229490553170008,0.5652093117514483,2.51756123922945,0.011817042486981434,0.0969496795586857,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,Family_uncultured,Family_uncultured
04d7d3596f3ca5afbd31a617e3bf9364,0.9935858271522149,0.39510907290421377,2.514712759818324,0,0,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,JCM 18997,Conexibacter sp. JCM 18997
97b68d30f74f085e2a90e116d5db897e,0.47567522966464115,0.19037365905101858,2.4986399485926993,0.01246709056525875,0.09880381298317309,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,OLB12,Genus__OLB12
